Date,R Number,Hatchling Number,Carapace Length,Carapace Width,Plastron Length,Carapace Height,Mass
2022-12-13,3,1,66.2,57.8,53.3,30.4,71.4
2022-12-13,3,2,104.2,87.8,91.8,45.3,220.0
2022-12-13,3,3,99.2,85.4,89.6,43.8,205.0
2022-12-13,3,4,94.9,79.0,82.2,41.1,167.0
2022-12-13,6,1,27.4,22.1,23.9,13.1,5.2
2022-12-13,6,2,33.3,27.7,28.8,15.9,9.1
2022-12-13,6,3,29.9,25.6,26.4,13.1,5.3
2022-12-13,6,4,32.4,27.1,27.8,14.1,7.2
2022-12-13,6,5,29.9,25.7,25.2,14.7,6.3
2022-12-13,6,6,35.9,30.4,31.0,17.1,10.4
2022-12-13,6,7,36.4,30.2,31.8,15.7,10.9
2022-12-13,6,8,29.1,24.8,25.9,14.3,6.0
2022-12-13,6,9,28.9,26.1,26.3,13.7,6.2
2022-12-13,6,10,36.4,29.9,30.8,16.7,10.6
2022-12-13,6,11,30.3,26.2,28.7,13.9,7.2
2022-12-13,6,12,32.0,27.4,26.8,14.9,7.5
2022-12-13,6,13,30.6,26.2,27.4,13.9,6.7
2022-12-13,6,14,32.7,26.3,28.2,15.9,8.5
2022-12-13,6,15,29.6,25.0,25.8,14.9,6.2
2022-12-13,6,16,32.9,26.6,27.5,15.7,8.1
2022-12-13,6,17,33.6,28.1,28.8,16.4,9.4
2022-12-13,6,18,30.9,26.2,26.9,15.5,7.3
2022-12-13,6,19,29.4,26.7,26.1,14.3,5.9
2022-12-13,13,1,33.5,27.9,28.9,15.8,8.5
2022-12-13,13,2,34.6,29.9,29.6,17.0,10.0
2022-12-13,13,3,31.5,26.7,27.7,15.0,7.1
2022-12-13,13,4,32.1,27.8,28.2,15.4,7.6
2022-12-13,13,5,33.9,29.8,30.2,16.9,9.4
2022-12-13,13,6,32.5,28.5,28.6,15.4,7.7
2022-12-13,13,7,30.7,26.9,27.3,14.2,6.7
2022-12-13,13,8,30.3,27.4,26.8,14.7,6.6
2022-12-13,13,9,31.6,27.2,27.4,16.2,7.6
2022-12-13,13,10,31.2,27.6,28.1,15.3,7.5
2022-12-13,13,11,30.9,27.2,26.9,15.4,7.0
2022-12-13,14,1,49.7,38.2,41.9,22.0,25.9
2022-12-13,14,2,55.7,46.0,48.9,26.4,38.8
2022-12-14,7,1,30.6,25.2,27.1,14.6,6.9
2022-12-14,7,2,30.5,26.7,27.6,13.3,6.8
2022-12-14,7,3,28.0,25.1,25.4,13.6,5.5
2022-12-14,7,4,27.8,23.4,25.2,12.4,4.9
2022-12-14,7,5,31.5,27.2,28.8,14.1,7.7
2022-12-14,8,1,30.4,27.1,27.4,13.9,6.7
2022-12-14,8,2,34.3,28.5,28.9,15.6,8.8
2022-12-14,8,3,30.5,24.3,26.4,13.9,6.5
2022-12-14,8,4,29.9,26.5,28.4,13.4,6.6
2022-12-14,8,5,30.7,26.0,25.2,14.9,6.1
2022-12-14,9,1,27.6,24.6,24.5,12.7,4.8
2022-12-14,9,2,32.4,28.6,28.5,17.2,8.9
2022-12-14,9,3,30.5,27.4,27.5,13.6,6.6
2022-12-14,9,4,31.0,26.5,27.0,14.9,7.2
2022-12-14,9,5,31.1,26.6,28.1,15.2,7.6
2022-12-14,10,1,32.4,26.5,27.9,15.6,7.6
2022-12-14,10,2,30.9,26.9,27.8,15.6,7.7
2022-12-14,10,3,27.9,24.9,24.5,13.6,5.9
